name,image,category,tag,stockBadge,sizes,colors,season,desc,moq
"Little Girls' Bag Collection","img/儿童手袋套装3.jpg","handbag-sets","Girls'","In Stock","One Size","7 Colors","All Season","Collection of cute bags for little girls. Includes shoulder bag, crossbody, and mini backpack.","250 pcs"
"Soft Kids' Slippers","img/儿童拖鞋1.jpg","kids-slippers","Kids'","In Stock","22-36","6 Colors","All Season","Ultra-soft plush slippers for kids with anti-slip sole. Warm and comfortable for indoor wear.","300 pcs"
"Cartoon House Slippers","img/儿童拖鞋2.jpg","kids-slippers","Kids'","In Stock","20-34","5 Colors","All Season","Cute cartoon-themed slippers with soft lining. Perfect for home and casual indoor use.","280 pcs"
"Comfort Kids' Slippers","img/儿童拖鞋3.jpg","kids-slippers","Kids'","In Stock","22-38","4 Colors","All Season","Comfortable home slippers with memory foam insole. Supportive and warm for all-day wear.","260 pcs"
"Premium Cotton Fabric Roll","img/纯棉布料1.jpg","cotton-fabric","Fabric","In Stock","150cm Width","12 Colors","All Season","High-quality 100% cotton fabric roll. Soft, breathable, and perfect for garment production. Available in multiple colors.","50 meters"
"Plain Cotton Textile","img/纯棉布料2.jpg","cotton-fabric","Fabric","In Stock","145cm Width","10 Colors","All Season","Plain cotton textile with smooth texture. Ideal for shirts, dresses, and various apparel items.","30 meters"
"Soft Cotton Material","img/纯棉布料3.jpg","cotton-fabric","Fabric","Limited","160cm Width","8 Colors","All Season","Premium soft cotton material with excellent draping quality. Perfect for high-end clothing production.","40 meters"
"Floral Print Summer Dress","img/花布连衣裙1.jpg","girls-printed","Girls'","In Stock","4-12Y","6 Colors","Summer","Beautiful floral print summer dress with lightweight fabric. Perfect for sunny days and beach vacations.","220 pcs"
"Garden Print Dress","img/花布连衣裙2.jpg","girls-printed","Girls'","In Stock","3-10Y","5 Colors","Summer","Charming garden print dress with ruffled details. Sweet and stylish for young girls.","200 pcs"
"Spring Floral Dress","img/花布连衣裙3.jpg","girls-printed","Girls'","In Stock","5-14Y","4 Colors","Spring","Lovely spring floral dress with comfortable fit. Ideal for outdoor activities and family outings.","180 pcs"
"Vintage Cotton Tee Collection","img/复古T恤.jpeg","mens summer","Men's","In Stock","S-XXL","7 Colors","Summer","Premium 100% cotton tees in a full spectrum of colors. Breathable, moisture-wicking fabric with a soft hand feel.","200 pcs"
"Insulated Hooded Parka","img/派克冲锋衣.jpeg","womens winter","Women's","In Stock","S-XXL","3 Colors","Winter","Modern insulated parka with structured hood and quilted lining. Water-resistant shell with premium zipper closures.","150 pcs"
"Acid-Wash Streetwear Tank","img/水洗背心.jpeg","kids summer","Kids'","In Stock","S-XL","3 Colors","Summer","Trendy acid-wash sleeveless tank with a distressed vintage finish. Relaxed streetwear silhouette.","250 pcs"
"Cool-Touch Polo Shirt","img/冰爽POJO衫.jpeg","mens summer","Men's","Limited","S-XXL","4 Colors","Summer","Lightweight performance polo with contrast placket detailing. Cool-touch technical fabric.","180 pcs"
"Quick-Dry Performance Tee","img/速干T恤（促销）.jpeg","womens summer","Women's","In Stock","S-XXL","5 Colors","Summer","Premium quick-dry fabric with excellent breathability and moisture-wicking. Promotional pricing available.","120 pcs"
"Oversized Fleece Hoodie","img/卫衣.jpeg","unisex winter","Unisex","In Stock","S-3XL","6 Colors","Winter","Oversized hoodie in premium fleece with drawstring hood and kangaroo pocket. Street-style essential.","200 pcs"
"Distressed Oversized Tee Dress","img/做旧潮T恤衫.jpeg","mens summer","Men's","In Stock","S-XL","4 Colors","Summer","Acid-wash oversized tee dress with a trendy streetwear aesthetic. Relaxed silhouette.","160 pcs"
